(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-100-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),11,0.7062 ( 275 1.0000 0.9432 0.7160 0.4920 ) ,7.20 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),10,0.7102 ( 264 1.0000 0.9480 0.7101 0.4878 ) ,3.64 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),16,0.7159 ( 246 1.0000 0.9495 0.7138 0.4855 ) ,7.47 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),35,0.7348 ( 217 0.9987 0.9674 0.7278 0.5038 ) ,7.45 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),36,0.7251 ( 246 0.9995 0.9646 0.7207 0.4938 ) ,3.75 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),23,0.7178 ( 252 1.0000 0.9552 0.7143 0.4865 ) ,7.39 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),18,0.7197 ( 244 0.9997 0.9527 0.7070 0.5128 ) ,7.35 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),21,0.7213 ( 246 0.9991 0.9531 0.7170 0.5131 ) ,3.83 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),16,0.7216 ( 250 0.9989 0.9592 0.7087 0.5029 ) ,7.24 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),10,0.7138 ( 243 0.9998 0.9437 0.7111 0.4936 ) ,7.30 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),13,0.7147 ( 258 0.9996 0.9540 0.7139 0.4790 ) ,3.72 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),13,0.7159 ( 263 0.9993 0.9512 0.7155 0.4929 ) ,7.24 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme elitismo),30,0.7213 ( 242 1.0000 0.9599 0.7107 0.4888 ) ,7.53 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),34,0.7300 ( 231 0.9995 0.9616 0.7136 0.5182 ) ,3.76 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),25,0.7166 ( 250 0.9997 0.9517 0.7200 0.4951 ) ,7.67 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme elitismo),14,0.7024 ( 273 1.0000 0.9413 0.7157 0.4849 ) ,7.26 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),17,0.7196 ( 241 0.9993 0.9539 0.7154 0.4961 ) ,3.68 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),30,0.7150 ( 244 0.9979 0.9523 0.7068 0.4829 ) ,7.59 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme elitismo),17,0.7136 ( 262 0.9991 0.9597 0.7112 0.4660 ) ,7.27 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),12,0.7121 ( 262 0.9995 0.9480 0.7141 0.4895 ) ,3.70 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),10,0.7062 ( 265 0.9998 0.9431 0.7156 0.4801 ) ,7.35 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme elitismo),21,0.7230 ( 248 0.9993 0.9573 0.7154 0.5123 ) ,7.40 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),29,0.7212 ( 249 0.9997 0.9640 0.7165 0.4819 ) ,3.70 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),25,0.7196 ( 242 0.9993 0.9523 0.7121 0.5001 ) ,7.52 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme elitismo),24,0.7194 ( 242 0.9993 0.9553 0.7105 0.4849 ) ,7.44 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),20,0.7243 ( 218 0.9995 0.9550 0.7190 0.4944 ) ,3.79 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),17,0.7197 ( 249 0.9995 0.9512 0.7225 0.5147 ) ,7.29 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme elitismo),13,0.7100 ( 253 1.0000 0.9478 0.7173 0.4729 ) ,7.25 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),11,0.7093 ( 270 0.9989 0.9441 0.7206 0.4830 ) ,3.74 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),10,0.7103 ( 253 1.0000 0.9459 0.7116 0.4856 ) ,7.25 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),24,0.7149 ( 249 0.9958 0.9491 0.7212 0.4977 ) ,7.31 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),26,0.7225 ( 256 0.9965 0.9586 0.7113 0.5225 ) ,3.81 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),31,0.7179 ( 255 0.9958 0.9575 0.7095 0.5016 ) ,7.43 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),18,0.7163 ( 254 0.9960 0.9504 0.7113 0.5142 ) ,7.43 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),17,0.7161 ( 264 0.9959 0.9516 0.7077 0.5055 ) ,3.65 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),13,0.7114 ( 266 0.9985 0.9500 0.7106 0.4852 ) ,7.23 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),9,0.7036 ( 286 0.9976 0.9402 0.7168 0.5014 ) ,7.15 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),7,0.7010 ( 259 0.9985 0.9342 0.7061 0.4767 ) ,3.62 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),8,0.7039 ( 263 0.9984 0.9374 0.7124 0.4822 ) ,7.11 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme elitismo),25,0.7133 ( 271 0.9925 0.9583 0.7194 0.4704 ) ,7.46 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),22,0.7152 ( 271 0.9956 0.9573 0.7103 0.4937 ) ,3.76 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),16,0.7102 ( 257 0.9948 0.9469 0.7164 0.4878 ) ,7.42 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme elitismo),15,0.7108 ( 278 0.9951 0.9520 0.7185 0.4906 ) ,7.43 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),18,0.7176 ( 245 0.9965 0.9509 0.7156 0.5037 ) ,3.78 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),14,0.7137 ( 282 0.9954 0.9528 0.7227 0.5066 ) ,7.32 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme elitismo),9,0.7066 ( 260 0.9993 0.9363 0.7169 0.4948 ) ,7.28 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),7,0.7015 ( 281 0.9991 0.9366 0.7190 0.4961 ) ,3.62 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),8,0.7056 ( 263 0.9985 0.9394 0.7165 0.4902 ) ,7.33 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme elitismo),20,0.7148 ( 273 0.9977 0.9507 0.7245 0.5036 ) ,7.45 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),23,0.7200 ( 256 0.9958 0.9588 0.7165 0.5212 ) ,3.93 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),27,0.7182 ( 266 0.9950 0.9593 0.7099 0.5142 ) ,7.49 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme elitismo),18,0.7193 ( 269 0.9962 0.9615 0.7218 0.5015 ) ,7.50 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),15,0.7121 ( 260 0.9995 0.9493 0.7102 0.4955 ) ,3.67 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),20,0.7135 ( 261 0.9929 0.9490 0.7153 0.5137 ) ,7.45 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme elitismo),11,0.7109 ( 275 0.9982 0.9470 0.7160 0.5044 ) ,7.26 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),12,0.7069 ( 289 0.9980 0.9494 0.7089 0.4937 ) ,3.70 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),11,0.7005 ( 281 0.9958 0.9411 0.7135 0.4691 ) ,7.35 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),36,0.7223 ( 251 1.0000 0.9582 0.7184 0.4971 ) ,3.58 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),33,0.7297 ( 242 0.9997 0.9660 0.7200 0.5090 ) ,1.90 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),21,0.7131 ( 247 1.0000 0.9449 0.7096 0.4958 ) ,3.69 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),19,0.7200 ( 232 0.9997 0.9520 0.7165 0.4881 ) ,3.72 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),24,0.7232 ( 250 0.9997 0.9559 0.7179 0.5121 ) ,1.95 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),45,0.7127 ( 253 1.0000 0.9511 0.7163 0.4848 ) ,3.62 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),11,0.7097 ( 262 1.0000 0.9484 0.7083 0.4790 ) ,3.57 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),8,0.6999 ( 275 1.0000 0.9344 0.7203 0.4728 ) ,1.78 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),12,0.7083 ( 263 1.0000 0.9468 0.7058 0.4766 ) ,3.63 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),41,0.7263 ( 231 1.0000 0.9637 0.7086 0.4975 ) ,3.66 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),46,0.7337 ( 222 1.0000 0.9637 0.7162 0.5183 ) ,1.92 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),42,0.7199 ( 239 1.0000 0.9584 0.7072 0.4950 ) ,3.86 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),15,0.7113 ( 263 1.0000 0.9469 0.7117 0.4966 ) ,3.63 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),19,0.7219 ( 242 0.9997 0.9538 0.7113 0.5093 ) ,1.87 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),18,0.7196 ( 254 1.0000 0.9525 0.7154 0.5117 ) ,3.63 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),23,0.7102 ( 261 1.0000 0.9401 0.7093 0.5026 ) ,3.51 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),13,0.7053 ( 267 1.0000 0.9431 0.7097 0.4779 ) ,1.79 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),11,0.7094 ( 258 1.0000 0.9480 0.7004 0.4769 ) ,3.56 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),20,0.7188 ( 241 1.0000 0.9504 0.7113 0.5052 ) ,3.70 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),31,0.7330 ( 228 0.9996 0.9683 0.7226 0.5139 ) ,1.87 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),25,0.7240 ( 241 1.0000 0.9590 0.7175 0.5009 ) ,3.64 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),35,0.7263 ( 233 1.0000 0.9572 0.7177 0.5140 ) ,3.71 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),20,0.7247 ( 241 1.0000 0.9560 0.7192 0.5062 ) ,1.90 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),21,0.7213 ( 234 1.0000 0.9548 0.7146 0.4974 ) ,3.68 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),14,0.7132 ( 259 1.0000 0.9491 0.7173 0.4835 ) ,3.66 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),15,0.7064 ( 274 1.0000 0.9466 0.7148 0.4895 ) ,1.83 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),11,0.7088 ( 254 0.9997 0.9447 0.7132 0.4702 ) ,3.70 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),28,0.7269 ( 235 0.9995 0.9587 0.7118 0.5110 ) ,3.82 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),26,0.7203 ( 246 0.9997 0.9604 0.7159 0.4922 ) ,1.90 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),23,0.7212 ( 250 1.0000 0.9523 0.7217 0.5229 ) ,3.74 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),17,0.7138 ( 258 0.9997 0.9537 0.7110 0.4769 ) ,3.78 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),19,0.7217 ( 239 1.0000 0.9544 0.7064 0.5022 ) ,1.96 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),15,0.7128 ( 256 0.9997 0.9476 0.7176 0.4948 ) ,3.62 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),8,0.7034 ( 262 1.0000 0.9373 0.7052 0.4710 ) ,3.56 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),15,0.7089 ( 266 1.0000 0.9520 0.7110 0.4787 ) ,1.83 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),10,0.7089 ( 245 0.9998 0.9354 0.7163 0.4966 ) ,3.59 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme elitismo),29,0.7262 ( 227 0.9988 0.9588 0.7218 0.5002 ) ,3.78 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),30,0.7262 ( 242 0.9993 0.9608 0.7233 0.5014 ) ,1.93 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),30,0.7230 ( 243 0.9996 0.9591 0.7108 0.5062 ) ,3.72 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme elitismo),19,0.7185 ( 233 0.9997 0.9540 0.7208 0.4738 ) ,3.68 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),20,0.7170 ( 270 0.9992 0.9556 0.7215 0.4914 ) ,1.92 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),24,0.7169 ( 261 0.9983 0.9541 0.7229 0.5018 ) ,3.67 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme elitismo),13,0.7100 ( 247 1.0000 0.9428 0.7068 0.4873 ) ,3.76 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),19,0.7042 ( 262 0.9991 0.9408 0.7212 0.4743 ) ,1.89 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),42,0.7126 ( 249 0.9993 0.9490 0.7119 0.4737 ) ,3.66 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme elitismo),27,0.7190 ( 241 0.9996 0.9547 0.7055 0.4909 ) ,3.86 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),34,0.7334 ( 226 0.9991 0.9688 0.7170 0.5105 ) ,1.98 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),30,0.7243 ( 238 0.9997 0.9604 0.7152 0.4994 ) ,3.73 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme elitismo),23,0.7182 ( 245 1.0000 0.9523 0.7084 0.5028 ) ,3.67 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),19,0.7194 ( 242 0.9999 0.9557 0.7231 0.4857 ) ,1.86 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),18,0.7135 ( 255 0.9993 0.9500 0.7078 0.4811 ) ,3.72 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme elitismo),10,0.7018 ( 271 1.0000 0.9382 0.7105 0.4703 ) ,3.65 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),13,0.7081 ( 249 0.9995 0.9424 0.7127 0.4674 ) ,1.84 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),12,0.7055 ( 242 1.0000 0.9367 0.7156 0.4647 ) ,3.71 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),15,0.7121 ( 259 0.9987 0.9477 0.7178 0.4868 ) ,3.73 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),24,0.7172 ( 245 0.9956 0.9543 0.7138 0.4945 ) ,1.90 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),12,0.7046 ( 251 0.9986 0.9369 0.7099 0.4723 ) ,3.73 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),15,0.7175 ( 272 0.9956 0.9569 0.7184 0.5130 ) ,3.71 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),18,0.7148 ( 257 0.9964 0.9550 0.7196 0.4865 ) ,1.90 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),16,0.7127 ( 270 0.9978 0.9539 0.7089 0.4948 ) ,3.74 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),10,0.7028 ( 274 0.9974 0.9414 0.7125 0.4788 ) ,3.84 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),9,0.7055 ( 277 0.9985 0.9455 0.7109 0.4645 ) ,1.89 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),10,0.7072 ( 277 0.9979 0.9435 0.7183 0.4997 ) ,3.64 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme elitismo),23,0.7158 ( 265 0.9966 0.9533 0.7290 0.5090 ) ,3.68 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),32,0.7247 ( 238 0.9961 0.9614 0.7157 0.5015 ) ,1.90 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),25,0.7136 ( 286 0.9925 0.9621 0.7081 0.5046 ) ,3.74 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme elitismo),19,0.7148 ( 269 0.9963 0.9577 0.7041 0.5011 ) ,3.68 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),16,0.7203 ( 233 0.9960 0.9483 0.7153 0.5094 ) ,1.87 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),16,0.7099 ( 246 0.9973 0.9419 0.7186 0.4859 ) ,3.73 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme elitismo),8,0.7036 ( 273 0.9984 0.9398 0.7135 0.4832 ) ,3.63 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),9,0.7049 ( 269 0.9991 0.9401 0.7068 0.4853 ) ,1.81 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),9,0.7021 ( 278 0.9987 0.9372 0.7103 0.4884 ) ,3.74 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme elitismo),25,0.7160 ( 249 0.9957 0.9518 0.7158 0.4931 ) ,3.83 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),29,0.7174 ( 271 0.9933 0.9591 0.7110 0.5116 ) ,1.90 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),27,0.7096 ( 296 0.9936 0.9539 0.7080 0.5086 ) ,3.70 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme elitismo),14,0.7074 ( 268 0.9967 0.9480 0.7122 0.4808 ) ,3.64 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),15,0.7136 ( 254 0.9968 0.9523 0.7113 0.4859 ) ,1.85 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),15,0.7115 ( 269 0.9967 0.9508 0.7172 0.4895 ) ,3.82 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme elitismo),8,0.7018 ( 281 0.9992 0.9367 0.7199 0.4826 ) ,3.62 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),9,0.7057 ( 281 0.9984 0.9464 0.7148 0.4852 ) ,1.88 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),11,0.7009 ( 286 0.9977 0.9482 0.7085 0.4732 ) ,3.70 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),27,0.7214 ( 252 1.0000 0.9621 0.7073 0.4954 ) ,5.87 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),37,0.7313 ( 239 1.0000 0.9651 0.7266 0.5155 ) ,3.02 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),27,0.7142 ( 253 0.9997 0.9505 0.7010 0.5061 ) ,5.98 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),15,0.7157 ( 243 1.0000 0.9518 0.7141 0.4754 ) ,5.84 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),20,0.7208 ( 230 1.0000 0.9562 0.7195 0.4722 ) ,3.07 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),15,0.7168 ( 246 1.0000 0.9483 0.7083 0.5059 ) ,5.83 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),28,0.7043 ( 256 0.9993 0.9436 0.7050 0.4713 ) ,5.96 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7071 ( 264 1.0000 0.9348 0.7157 0.5068 ) ,2.99 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),10,0.7015 ( 275 1.0000 0.9368 0.7126 0.4766 ) ,5.78 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),19,0.7209 ( 238 1.0000 0.9526 0.7156 0.4971 ) ,5.92 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),35,0.7334 ( 234 1.0000 0.9671 0.7167 0.5229 ) ,3.04 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),50,0.7310 ( 218 1.0000 0.9620 0.7168 0.5059 ) ,5.96 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),34,0.7202 ( 245 1.0000 0.9542 0.7130 0.4996 ) ,5.95 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),23,0.7123 ( 249 1.0000 0.9499 0.7133 0.4680 ) ,2.93 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),61,0.7158 ( 253 0.9997 0.9557 0.7119 0.4860 ) ,5.86 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),12,0.7122 ( 251 1.0000 0.9519 0.7081 0.4720 ) ,5.89 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),11,0.7116 ( 253 1.0000 0.9447 0.7059 0.4958 ) ,2.94 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),15,0.7095 ( 270 1.0000 0.9532 0.7240 0.4655 ) ,5.97 min
100-80-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),27,0.7214 ( 229 0.9999 0.9547 0.7108 0.4960 ) ,5.95 min
100-80-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),30,0.7218 ( 241 1.0000 0.9574 0.7132 0.5008 ) ,3.43 min
100-80-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),25,0.7216 ( 226 1.0000 0.9522 0.7111 0.4882 ) ,6.10 min
