(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-100-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),10,0.7033 ( 284 0.9930 0.9452 0.7150 0.4828 ) ,3.73 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),9,0.7014 ( 274 0.9982 0.9442 0.7080 0.4711 ) ,7.35 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme elitismo),18,0.7069 ( 277 0.9970 0.9589 0.7101 0.4627 ) ,7.49 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),30,0.7276 ( 248 0.9955 0.9601 0.7176 0.5189 ) ,3.88 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),25,0.7208 ( 251 0.9963 0.9586 0.7079 0.5061 ) ,7.52 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme elitismo),18,0.7155 ( 253 0.9957 0.9528 0.7105 0.4955 ) ,7.42 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),16,0.7112 ( 272 0.9970 0.9515 0.7116 0.4962 ) ,3.67 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),13,0.7100 ( 274 0.9982 0.9498 0.7171 0.4862 ) ,7.26 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme elitismo),11,0.7096 ( 270 0.9947 0.9448 0.7172 0.5029 ) ,7.51 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),12,0.7069 ( 273 0.9968 0.9462 0.7148 0.4745 ) ,3.76 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),11,0.7098 ( 260 0.9983 0.9427 0.7126 0.5048 ) ,7.41 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),35,0.7216 ( 245 0.9995 0.9608 0.7171 0.4886 ) ,3.60 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),29,0.7295 ( 232 1.0000 0.9662 0.7173 0.4948 ) ,1.94 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),23,0.7187 ( 246 1.0000 0.9548 0.7159 0.4919 ) ,3.78 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),20,0.7206 ( 259 1.0000 0.9624 0.7246 0.4843 ) ,3.58 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),16,0.7137 ( 244 1.0000 0.9510 0.6997 0.4815 ) ,1.85 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),18,0.7165 ( 248 1.0000 0.9470 0.7147 0.5071 ) ,3.68 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),36,0.7059 ( 266 1.0000 0.9360 0.7159 0.4902 ) ,3.68 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7118 ( 255 1.0000 0.9423 0.7130 0.4995 ) ,1.85 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),24,0.7075 ( 290 0.9997 0.9499 0.7180 0.4759 ) ,3.69 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),34,0.7306 ( 225 1.0000 0.9660 0.7136 0.5032 ) ,3.78 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),29,0.7282 ( 222 1.0000 0.9614 0.7166 0.4973 ) ,1.88 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),25,0.7211 ( 247 1.0000 0.9573 0.7143 0.4925 ) ,3.67 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),20,0.7150 ( 238 1.0000 0.9509 0.7077 0.4760 ) ,3.72 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),21,0.7167 ( 240 1.0000 0.9524 0.7156 0.4826 ) ,1.97 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),30,0.7162 ( 254 1.0000 0.9501 0.7201 0.5013 ) ,3.60 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),10,0.7066 ( 270 1.0000 0.9435 0.7096 0.4861 ) ,3.64 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),14,0.7105 ( 261 1.0000 0.9448 0.7111 0.5034 ) ,1.87 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),11,0.7073 ( 256 1.0000 0.9453 0.7034 0.4719 ) ,3.77 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),24,0.7204 ( 229 1.0000 0.9568 0.7144 0.4753 ) ,3.77 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),30,0.7280 ( 236 1.0000 0.9589 0.7142 0.5141 ) ,1.94 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),29,0.7162 ( 236 0.9997 0.9499 0.7127 0.4884 ) ,3.71 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),16,0.7154 ( 236 1.0000 0.9489 0.7169 0.4782 ) ,3.63 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),31,0.7223 ( 246 0.9998 0.9563 0.7167 0.4997 ) ,1.86 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),18,0.7122 ( 252 1.0000 0.9484 0.7093 0.4843 ) ,3.74 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),15,0.7123 ( 247 1.0000 0.9473 0.7040 0.4785 ) ,3.76 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),13,0.7070 ( 246 0.9997 0.9409 0.7086 0.4718 ) ,1.86 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),11,0.7092 ( 269 0.9997 0.9425 0.7116 0.5030 ) ,3.56 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),31,0.7257 ( 247 0.9991 0.9643 0.7182 0.5083 ) ,3.75 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),31,0.7304 ( 246 0.9995 0.9638 0.7217 0.5248 ) ,1.90 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),25,0.7270 ( 241 0.9995 0.9591 0.7212 0.5126 ) ,3.74 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),18,0.7178 ( 246 1.0000 0.9515 0.7130 0.4908 ) ,3.70 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),17,0.7182 ( 262 1.0000 0.9569 0.7179 0.4982 ) ,1.96 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),17,0.7157 ( 271 1.0000 0.9551 0.7136 0.5021 ) ,3.77 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),13,0.7128 ( 270 1.0000 0.9536 0.7028 0.4912 ) ,3.64 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),10,0.7057 ( 270 1.0000 0.9433 0.7104 0.4853 ) ,1.89 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),12,0.7086 ( 249 1.0000 0.9455 0.7181 0.4703 ) ,3.65 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme elitismo),34,0.7308 ( 227 1.0000 0.9654 0.7200 0.4990 ) ,3.75 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),47,0.7328 ( 235 0.9991 0.9644 0.7254 0.5163 ) ,1.92 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),23,0.7190 ( 245 0.9995 0.9506 0.7099 0.5157 ) ,3.80 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme elitismo),17,0.7172 ( 263 0.9996 0.9574 0.7153 0.5010 ) ,3.67 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),22,0.7166 ( 239 0.9988 0.9495 0.7220 0.4964 ) ,1.98 min
